id,name,complexity,bonus,task,solution,cost,rating,page_id,solution_cost,priority,company_id,is_visible,is_private,recommendation
11,Проверить валидность скобок,1,5,"<p>Дана строка <code>s</code>, которая содержит только символы <code>&#39;(&#39;</code>, <code>&#39;)&#39;</code>, <code>&#39;{&#39;</code>, <code>&#39;}&#39;</code>, <code>&#39;[&#39;</code> и <code>&#39;]&#39;</code>. Проверить, все ли скобки закрываются скобками того же вида и в правильном ли порядке закрыты все скобки. Если все правильно, то вернуть <code>true</code>, иначе <code>false</code>.</p><p>Пример 1:</p><pre><strong>Дано:</strong> s = &quot;()&quot;
<strong>Результат:</strong> true
</pre><p>Пример 2:</p><pre><strong>Дано:</strong> s = &quot;()[]{}&quot;
<strong>Результат:</strong> true
</pre><p>Пример 3:</p><pre><strong>Дано:</strong> s = &quot;([{([])}])&quot;
<strong>Результат:</strong> true
</pre><p>Пример 4:</p><pre><strong>Дано:</strong> s = &quot;()[}&quot;
<strong>Результат:</strong> False
</pre>","<inject-highlight>class Answer:
    def isValid(self, s):

        stack = []

        mapping = {"")"": ""("", ""}"": ""{"", ""]"": ""[""}

        for char in s:

            if char in mapping:

                top_element = stack.pop() if stack else '#'

                if mapping[char] != top_element:
                    return False
            else:
                stack.append(char)

        return not stack
</inject-highlight>",20,93.0,56,0,1.0,,True,False,
12,Удалить дублирующиеся соседние буквы,1,5,"<p>Дана строка <code>s</code>, состоящая только из букв английского алфавита в нижнем регистре. Необходимо полностью удалить все соседние повторяющиеся буквы и вернуть результирующю строку.</p><p><strong>Примечание.</strong> После удаления дубликатов могут возникнуть новые. Удалять дубликаты необходимо до тех пор, пока не будут удалены все повторяющиеся соседние буквы.</p><p>Пример 1:</p><pre><strong>Дано:</strong> ""abbaca""
<strong>Результат:</strong> ""ca""

<strong>Объяснение:</strong>

Т.к. после удаления «bb» получается строка «aaca», ее снова необходимо очистить, т.к. образовался новый повтор «aa».
</pre>","<inject-highlight>class Answer:
    def removeDuplicates(self, S):
        if not S:
            return S
        res = [S[0]]
        for curr in S[1:]:
            if res and curr == res[-1]:
                res.pop()
            else:
                res.append(curr)
        res = ''.join(res)
        return res
</inject-highlight>",20,90.0,57,0,1.0,,True,False,
13,Сконструировать массив из Push и Pop,1,5,"<p>Дан упорядоченный массив <code>target</code> и целое число <code>n</code>. На каждой итерации Вы будете считывать одно число из набора <code>list = {1, 2, ..., n}</code>. Необходимо сконструировать массив из команд <code>""Push""</code> и <code>""Pop""</code>, которые позволят из <code>list</code> получить <code>target</code>. Если на какой-то итерации Вы получили <code>target</code>, то нужно остановить вычисления.</p><p>Пример 1:</p><pre><strong>Дано:</strong> target = [1,3], n = 3
<strong>Результат:</strong> [""Push"",""Push"",""Pop"",""Push""]

<strong>Объяснение:</strong>

Считываем число 1 и помещаем его в массив target (""Push"") -> [1]
Считываем число 2, помещаем в массив target (""Push"") и вынимаем (""Pop"") -> [1]
Считываем число 3 и помещаем его в массив target (""Push"") -> [1, 3]
Требуемый массив target получен, необходимый набор команд: [""Push"", ""Push"", ""Pop"", ""Push""]
</pre><p>Пример 2:</p><pre><strong>Дано:</strong> target = [1, 2, 3], n = 3
<strong>Результат:</strong> [""Push"", ""Push"", ""Push""]
</pre><p>Пример 3:</p><pre><strong>Дано:</strong> target = [1, 2], n = 4
<strong>Результат:</strong> [""Push"", ""Push""]

<strong>Объяснение:</strong>

Для формирования массива target достаточно считать всего 2 числа. После этого вычисления останавливаются.
</pre>","<inject-highlight>class Answer:
    def buildArray(self, target, n):
        ans = []
        mapping = set(target)
        for i in range(1, n+1):
            ans.append('Push')
            if i not in mapping:
                ans.append('Pop')
            if i == target[-1]:
                break
        return ans
</inject-highlight>",20,94.0,58,0,1.0,,True,False,
14,Минимальная валидность скобок,2,10,"<p>Дана строка <code>s</code>, состоящая из скобок <code>(</code> и <code>)</code>. Необходимо посчитать, какое минимальное количество скобок необходимо добавить к строке <code>s</code>, чтобы каждая скобка имела закрывающую/открывающую ее пару.</p><p>Пример 1:</p><pre><strong>Дано:</strong> &quot;())&quot;
<strong>Результат:</strong> 1
</pre><p>Пример 2:</p><pre><strong>Дано:</strong> &quot;()()()&quot;
<strong>Результат:</strong> 0
</pre><p>Пример 3:</p><pre><strong>Дано:</strong> &quot;()()))&quot;
<strong>Результат:</strong> 2
</pre><p>Пример 4:</p><pre><strong>Дано:</strong> &quot;((()()))&quot;
<strong>Результат:</strong> 0
</pre>","<inject-highlight>class Answer:
    def minAddToMakeValid(self, S):
        ans = bal = 0
        for symbol in S:
            bal += 1 if symbol == '(' else -1
            if bal == -1:
                ans += 1
                bal += 1
        return ans + bal
</inject-highlight><p>Альтернативное решение:</p><inject-highlight>class Answer:
    def minAddToMakeValid(self, S):
        i = S.find('()')
        while i + 1:
            S = S[0:i] + S[i+2:]
            i = S.find('()')
        return len(S)
</inject-highlight>",30,86.0,59,0,1.0,,True,False,
15,Количество дней до потепления,2,10,"<p>Дан список <code>T</code>, в котором содержится температура за каждый день. Необходимо сделать новый список, в котором для каждого дня будет отображено - сколько дней необходимо ждать потепления. Если для конкретного дня нет возможности найти день, когда станет теплей, то в список занести <code>0</code>.</p><p>Пример:</p><pre><strong>Дано:</strong> T = [73, 74, 75, 71, 69, 72, 76, 73]
<strong>Результат:</strong> [1, 1, 4, 2, 1, 1, 0, 0]
</pre>","<inject-highlight>class Answer:
    def dailyTemperatures(self, T):
        n, right_max = len(T), float('-inf')
        res = [0] * n
        for i in range(n-1, -1, -1):
            t = T[i]
            if right_max <= t:
                right_max = t
            else:
                days = 1
                while T[i+days] <= t:
                    days += res[i+days]
                res[i] = days
        return res
</inject-highlight><p>другой вариант: </p><inject-highlight>class Answer:  
    def dailyTemperatures(self, T):
        s1, s2, i = [], [], 0
        while T:
            if s2 and T[0] > s2[-1][0]:
                s1[s2[-1][1]] = i - s2[-1][1]
                s2.pop()
            else:
                s1.append(0)
                s2.append((T.pop(0), i))
                i += 1
        return s1
</inject-highlight>",30,92.0,60,0,1.0,,True,False,
16,Вес строки со скобками,2,10,"<p>Дана сбалансированная строка <code>s</code>, содержащая только скобки <code>(</code> и <code>)</code>. Каждая скобка <code>(</code> имеет закрывающую ее пару <code>)</code>. Необходимо рассчитать «вес» строки <code>s</code>, учитывая следующие правила:</p><ol><li><code>()</code> - таким скобкам присваивается вес 1</li><li>Конкатенация пар скобок <code>AB</code> имеет вес <code>вес A + вес B</code>. В данном случае <code>A</code> и <code>B</code> - сбалансированная строка со скобками (например, <code>A = (())</code>, <code>B = ()</code>).</li><li>Конструкция <code>(A)</code> имеет вес <code>2 * вес A</code>, где <code>A</code> - сбалансированная строка скобок.</li></ol><p>Пример 1:</p><pre><strong>Дано:</strong> &quot;()&quot;
<strong>Результат:</strong> 1
</pre><p>Пример 2:</p><pre><strong>Дано:</strong> &quot;(())&quot;
<strong>Результат:</strong> 2
</pre><p>Пример 3:</p><pre><strong>Дано:</strong> &quot;()()&quot;
<strong>Результат:</strong> 2
</pre><p>Пример 4:</p><pre><strong>Дано:</strong> &quot;(()(()))&quot;
<strong>Результат:</strong> 6
</pre><p>Пример 5:</p><pre><strong>Дано:</strong> &quot;((()(()))())&quot;
<strong>Результат:</strong> 14
</pre>","<inject-highlight>class Answer:
    def scoreOfParentheses(self, S):
        stack = [0]

        for x in S:
            if x == '(':
                stack.append(0)
            else:
                v = stack.pop()
                stack[-1] += max(2 * v, 1)

        return stack.pop()</inject-highlight>",0,88.0,61,0,1.0,,True,False,
17,Стек с частотой элементов,3,20,"<p>Создайте стеко-подобную структуру данных, в которую можно добавлять элементы и извлекать самый часто встречающийся элемент.</p><p>Реализуйте класс <code>FreqStack</code>:</p><ul><li><code>FreqStack()</code> должен создавать пустой стек</li><li><code>push(value)</code> добавляет значение <code>value</code> (типа <code>int</code>) в конец стека, этот метод ничего не возвращает</li><li><code>pop()</code> извлекает из стека самый часто встречающийся элемент и удаляет его из стека</li><li><code>get()</code> возвращает список всех элементов</li></ul><p><strong>Примечание:</strong> Если несколько элементов встречаются одинаковое количество раз, то метод <code>pop</code> возвращает тот, который ближе к концу стека.</p><p>Пример 1:</p><pre>obj = FreqStack()
# Создается пустой стек

obj.push(5)
obj.push(7)
obj.push(5)
obj.push(7)
obj.push(4)
obj.push(5)
# Имеем [5,7,5,7,4,5]

obj.pop()
# Имеем [5,7,5,7,4], т.к. 5 встречается больше всего раз

obj.pop()
# Имеем [5,7,5,4], т.к. 5 и 7 встречаются одинаковое количество раз, но 7 ближе к концу стека
</pre>
","<inject-highlight>class FreqStack:
    def __init__(self):
        self.obj = []
        self.dict = {}
    def push(self, value):
        self.dict[value] = self.dict.get(value, 0) + 1
        self.obj.append(value)
    def pop(self):
        if self.dict == {}:
            return None
        dic_items = list(self.dict.items())
        max_frq = max([x[1] for x in dic_items])
        part_obj = []
        while self.obj:
            pop_item = self.obj.pop()
            if self.dict[pop_item] == max_frq:
                self.dict[pop_item] -= 1
                self.obj += part_obj
                return pop_item
            else:
                part_obj = [pop_item, ] + part_obj
    def get(self):
        return self.obj
</inject-highlight>",40,92.0,62,0,1.0,,True,False,
18,"Числа, которые делятся на все цифры",1,5,"<p>Вам задана левая и правая граница числовой последовательности. Найти все числа, которые делятся без остатка на каждую цифру, из которых это число состоит. Само собой, в записи числа не должно быть нулей.</p><p>Пример:</p><pre><strong>Дано:</strong> left = 20, right = 30
<strong>Результат:</strong> [22, 24]
</pre>","<inject-highlight>class Answer:
    def selfDividingNumbers(self, left, right):

        res = []
        for val in range(left, right+1):

            number = val
            isVal = True

            while number != 0:
                check = number%10
                if check == 0 or val%check != 0:
                    isVal = False
                    break
                number //= 10
            if isVal:
                res.append(val)

        return res</inject-highlight>",0,96.0,63,0,890.0,,True,False,
19,Максимальное число из 6 и 9,1,5,"<p>Дано целое число, состоящее только из цифр 6 и 9. Найти максимальное число, которое можно получить, заменив одну цифру на другую.</p><p><strong>Примечание:</strong> Если при замене получается число, меньше текущего, то замену делать не нужно.</p><p><strong>Пример 1:</strong></p><pre>Дано: 6666
Результат: 9666
</pre><p><strong>Пример 2:</strong></p><pre>Дано: 9699
Результат: 9999
</pre><p><strong>Пример 3:</strong></p><pre>Дано: 9999
Результат: 9999
</pre>","<p>Задача, сама по себе, довольно простая. Интуитивно понятно, что максимальное число можно получить, просто заменив «6» на «9» в старшем разряде. Сделать это очень просто: </p><ol><li>Конвертируем число в строку</li><li>Заменяем первую встретившуюся 6 на 9</li><li>Конвертируем итоговую строку в число</li></ol><p>Реализация на Python: </p><inject-highlight>class Answer:
    def maximum69Number(self, num):
            return int(str(num).replace('6', '9', 1))
</inject-highlight><p>Примечание: Метод <code>replace</code> с третьим аргументом «1» заменит только первое вхождение. </p><p>Однако, алгоритмически это не самое удачное решение, ведь оно требует 3 прохода:</p><ol><li>Проход для перевода в строку</li><li>Поиск первой шестерки</li><li>Обратная конвертация</li></ol><p>Кроме того, на интервью предпочитают видеть именно алгоритмическую имплементацию. </p><p>Давайте рассмотрим один из возможных подходов. </p><ul><li>В цикле проверяем, какое число стоит на последнем месте с помощью остатка от деления. Если «6», то запоминаем индекс числа (считаем с конца, т.е. последний элемент имеет индекс <code>0</code>). Таким образом, в конце цикла в переменной <code>sixindex</code> будет первое вхождение цифры «6», если смотреть с начала. </li><li>Отбрасываем последний разряд с помощью целочисленного деления. </li><li>Продолжаем цикл. </li></ul><p>Если цифра «6» не встречалась в исходном числе, то возвращаем исходное число. Иначе возвращаем: </p><inject-highlight>pow(10, sixindex) * 3 + num
</inject-highlight><p>Эта конструкция позволяет заменить самую первую шестерку на девятку. </p><p>Реализация на Python: </p><inject-highlight>class Answer:
    def maximum69Number (self, num):
        # Заводим счетчик итераций
        i = 0
        # Создаем копию числа, что не трогать исходное
        tem = num
        # Сохраняем индекс очередной «6»
        sixidx = -1 
        # Пока в числе есть разряды
        while tem > 0:
            # Если меньший разряд - «6»
            if tem % 10 == 6:
                # Сохраняем индекс (считаем от конца)
                sixidx = i
            # Отбрасываем последний разряд
            tem = tem//10
            # Увеличиваем счетчик итераций
            i += 1
        # Если «6» есть, меняем первую «6» на «9», иначе исходное
        return (num + 3 <em>(10</em>*sixidx)) if sixidx != -1 else num
</inject-highlight>
",20,89.0,64,0,890.0,,True,False,
20,Разница между произведением и суммой цифр,1,5,"<p>Дано целое число <code>n</code>. Найти разницу между произведение и суммой цифр в записи числа <code>n</code>.</p><p>Пример:</p><pre><strong>Дано:</strong> 128
<strong>Результат:</strong> 5
<strong>Объяснение:</strong> 1*2*8 - (1+2+8) = 16 - 11 = 5
</pre>","<inject-highlight>from functools import reduce
import operator

class Answer:
  def subtractProductAndSum(self, n):      
      A = list(map(int, str(n)))
      return reduce(operator.mul, A) - sum(A)</inject-highlight>",20,86.0,65,0,890.0,,True,False,
21,Бинарное число из связного списка в обычное,1,5,"<p>Дан <code>head</code> - первый узел односвязного списка. Значение в каждом узле этого списка - число 0 или 1. Другими словами, в связном списке хранится представление какого-то числа в двоичной системе счисления. Необходимо вернуть число в десятичной системе, представление которого хранится в односвязном списке.</p><p>Пример 1:</p><pre><strong>Дано:</strong> head = [1,0,1]
<strong>Результат:</strong> 5
</pre><p>Пример 2:</p><pre><strong>Дано:</strong> head = [0]
<strong>Результат:</strong> 0
</pre><p>Пример 3:</p><pre><strong>Дано:</strong> head = [1,0,0,1,0,0,1,1,1,0,0,0,0,0,0]
<strong>Результат:</strong> 18880
</pre>","<inject-highlight>class Answer:
    def getDecimalValue(self, head):
        num = head.val
        while head.next:
            num = num * 2 + head.next.val
            head = head.next
        return num
</inject-highlight>",20,95.0,66,0,1.0,,True,False,
22,Середина односвязного списка,1,5,"<p>Дан непустой односвязный список с начальным узлом <code>head</code>. Необходимо найти значение узла, который находится посередине этого односвязного списка.</p><p><strong>Примечание:</strong> Если в середине находится сразу 2 узла, то необходимо вернуть значение второго.</p><p>Пример 1:</p><pre><strong>Дано:</strong> [1, 2, 3, 4, 5]
<strong>Результат:</strong> 3
</pre><p>Пример 2:</p><pre><strong>Дано:</strong> [1, 2, 3, 4, 5, 6]
<strong>Результат:</strong> По центру стоят два узла: со значением 3 и 4. Выбираем второй - 4.
</pre>
","<inject-highlight>class ListNode:
     def __init__(self, val=0, next=None):
         self.val = val
         self.next = next

class Answer:
  def middleNodeValue(self, head):
        slow = fast = head
        while fast and fast.next:
            slow = slow.next
            fast = fast.next.next
        return slow.val  </inject-highlight>",20,86.0,67,0,1.0,,True,False,
23,Реверс односвязаного списка,1,5,"<p>Дан односвязный список с начальным узлом <code>head</code>. Необходимо сделать реверс этого списка и вернуть получившийся список.</p><p>Пример:</p><pre><strong>Дано:</strong> [1, 2, 3, 4, 5]
<strong>Решение:</strong> [5, 4, 3, 2, 1]
</pre>","<inject-highlight>class Answer:
    def reverseList(self, head):
        pre, cur = None, head
        while cur:
            cur.next, pre, cur = pre, cur, cur.next
        return pre</inject-highlight>",20,92.0,68,0,1.0,,True,False,
24,Объединение отсортированных односвязных списков,1,5,"<p>Даны два отсортированных односвязных списка. Необходимо объединить их и вернуть итоговый отсортированный односвязный список.</p><p><strong>Примечание:</strong> Если в списках есть дублирующиеся значения, то их необходимо оставить.</p><p><strong>Примечание:</strong> Оба списка отсортированы таким образом, что они неубывают.</p><p>Пример 1:</p><pre><strong>Дано:</strong> [1, 2, 3], [2, 3, 4]
<strong>Результат:</strong> [1, 2, 2, 3, 3, 4]
</pre><p>Пример 2:</p><pre><strong>Дано:</strong> [1, 2, 3], [1, 9, 10]
<strong>Результат:</strong> [1, 1, 2, 3, 9, 10]
</pre><p>Пример 3:</p><pre><strong>Дано:</strong> [], []
<strong>Результат:</strong> []
</pre>","<inject-highlight>class Answer:
    def mergeTwoLists(self, a, b):
        if a and b:
            if a.val > b.val:
                a, b = b, a
            a.next = self.mergeTwoLists(a.next, b)
        return a or b
</inject-highlight>",20,99.0,69,0,1.0,,True,False,
25,Связный список с дубликатами,1,5,"<p>Дан отсортированный односвязный список. Необходимо удалить узлы с дублирующимися значениями и вернуть также отсортированный односвязный список без дубликатов.</p><p>Пример:</p><pre><strong>Дано:</strong> [1, 2, 3, 4, 4, 5]
<strong>Результат:</strong> [1, 2, 3, 4, 5]
</pre><p><em>Примечание: Узлы в списке расположены таким образом, что значения организованы в порядке неубывания при увеличении номера узла.</em></p>","<inject-highlight>class Answer:
    def deleteDuplicates(self, head):
        cur = head
        while cur:
            while cur.next and cur.next.val == cur.val:
                cur.next = cur.next.next
            cur = cur.next
        return head
</inject-highlight>",20,92.0,70,0,1.0,,True,False,
26,Первый узел пересечения связных списков,2,10,"<p>Даны первые узлы двух односвязных списков: </p><ul><li><code>headA</code> - начальный узел списка <code>A</code></li><li><code>headB</code> - начальный узел списка <code>B</code></li></ul><p>В некотором узле списке пересекаются. Необходимо найти и вернуть первый узел, в котором значения списков <code>A</code> и <code>B</code> совпадут. </p><p>Если пересечений у списков нет, то вернуть <code>NULL</code>.</p><p>Пример 1:</p><pre><strong>Дано:</strong> [1, 2, 3, 4, 5], [8, 9, 4, 5]

1 -> 2 -> 3 -
              \\
                > 4 -> 5
              /
     8 -> 9 -        

<strong>Результат:</strong> 4
</pre><p>Пример 2:</p><pre><strong>Дано:</strong> [1, 2, 3, 4, 5], [10, 11, 3, 4, 5]

 1 ->  2 -
            \\
              > 3 -> 4 -> 5
            /
10 -> 11 -   

<strong>Результат:</strong> 3
</pre><p>Пример 3:</p><pre><strong>Дано:</strong> [1, 2, 3], [4, 5, 6, 7]

1 -> 2 -> 3
4 -> 5 -> 6 -> 7

<strong>Результат:</strong> NULL
</pre>","<inject-highlight>class Answer:
    def getIntersectionNode(self, headA, headB):
            if headA is None or headB is None:
                return None
    
            pa = headA
            pb = headB
    
            while pa is not pb:
                pa = headB if pa is None else pa.next
                pb = headA if pb is None else pb.next
    
            return pa 
</inject-highlight>",30,91.0,71,0,1.0,,True,False,
27,Сдвинуть узлы связного списка,2,10,"<p>Дан односвязный список с начальным узлом <code>head</code>. Необходимо сдвинуть узлы на заданное число <code>k</code>.</p><p>Пример 1:</p><pre><strong>Дано:</strong> [1, 2, 3, 4, 5], k = 1
<strong>Результат:</strong> [5, 1, 2, 3, 4]
</pre><p>Пример 2:</p><pre><strong>Дано:</strong> [1, 2, 3, 4, 5], k = 2
<strong>Результат:</strong> [4, 5, 1, 2, 3]
</pre><p>Пример 3:</p><pre><strong>Дано:</strong> [1, 2, 3, 4, 5], k = 3
<strong>Результат:</strong> [3, 4, 5, 1, 2]
</pre>","<inject-highlight>class ListNode:
     def __init__(self, val=0, next=None):
         self.val = val
         self.next = next

class Answer:
    def rotateRight(self, head, k):
        
        if not head:
            return None
        
        lastElement = head
        length = 1

        while ( lastElement.next ):
            lastElement = lastElement.next
            length += 1

        k = k % length
            
        lastElement.next = head
        
        tempNode = head
        for _ in range( length - k - 1 ):
            tempNode = tempNode.next

        answer = tempNode.next
        tempNode.next = None
        
        return answer
</inject-highlight>",30,94.0,72,0,1.0,,True,False,
